Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,condition,direction
gs_ind_0,Positive Regulation Of Isomerase Activity (GO:0010912),1/7,0.0275508161589024,0.1726695267498958,58.277389277389275,209.31624639302018,ITGAM,Stim8hr,positive
gs_ind_0,Positive Regulation Of Inflammatory Response (GO:0050729),2/82,0.042172206042006326,0.1726695267498958,7.957034001408721,25.191921106778093,ADAM8;CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002888),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,ITGAM,Stim8hr,positive
gs_ind_0,Positive Regulation Of GTPase Activity (GO:0043547),4/174,0.004995627757873281,0.1726695267498958,7.002081165452654,37.10537387841352,S100A10;TBC1D1;GPR65;ARHGAP25,Stim8hr,positive
gs_ind_0,Phagocytosis (GO:0006909),2/51,0.017500058197247714,0.1726695267498958,12.972508591065292,52.48094604361504,ITGAM;ARHGAP25,Stim8hr,positive
gs_ind_0,Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),2/41,0.011542488971863026,0.1726695267498958,16.269737700639435,72.59101993487536,C3AR1;GPR65,Stim8hr,positive
gs_ind_0,Negative Regulation Of Defense Response (GO:0031348),2/89,0.048866936940887375,0.1726695267498958,7.316347569955817,22.085523667228422,SLC39A8;IL10RA,Stim8hr,positive
gs_ind_0,Negative Regulation Of Extracellular Matrix Organization (GO:1903054),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,DPP4,Stim8hr,positive
gs_ind_0,Negative Regulation Of Homotypic Cell-Cell Adhesion (GO:0034111),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,SH2B3,Stim8hr,positive
gs_ind_0,Negative Regulation Of Inflammatory Response (GO:0050728),2/84,0.044046979196465205,0.1726695267498958,7.762886597938144,24.239601801585767,SLC39A8;IL10RA,Stim8hr,positive
gs_ind_0,Negative Regulation Of Interleukin-8 Production (GO:0032717),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,ANXA4,Stim8hr,positive
gs_ind_0,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),3/182,0.03571401259823932,0.1726695267498958,5.060401700630406,16.862332068440235,SLC39A8;SH2B3;ARHGAP25,Stim8hr,positive
gs_ind_0,Negative Regulation Of Leukocyte Activation (GO:0002695),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,HAVCR2,Stim8hr,positive
gs_ind_0,Negative Regulation Of Lipid Kinase Activity (GO:0090219),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,PIP4K2A,Stim8hr,positive
gs_ind_0,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),2/70,0.03160186386820444,0.1726695267498958,9.359996989991723,32.334476298132394,HAVCR2;ANXA4,Stim8hr,positive
gs_ind_0,Negative Regulation Of Phagocytosis (GO:0050765),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,CD47,Stim8hr,positive
gs_ind_0,Negative Regulation Of Phosphatase Activity (GO:0010923),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,PPP1R11,Stim8hr,positive
gs_ind_0,Polyol Biosynthetic Process (GO:0046173),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,CYP2R1,Stim8hr,positive
gs_ind_0,Negative Regulation Of Platelet Activation (GO:0010544),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,SH2B3,Stim8hr,positive
gs_ind_0,Negative Regulation Of Receptor Internalization (GO:0002091),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,UBQLN2,Stim8hr,positive
gs_ind_0,Negative Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046426),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,SH2B3,Stim8hr,positive
gs_ind_0,Negative Regulation Of Receptor Signaling Pathway Via STAT (GO:1904893),1/10,0.03912930776321142,0.1726695267498958,39.864433811802236,129.19598711729856,SH2B3,Stim8hr,positive
gs_ind_0,Negative Regulation Of Response To Cytokine Stimulus (GO:0060761),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,SH2B3,Stim8hr,positive
gs_ind_0,Negative Regulation Of Signal Transduction (GO:0009968),3/190,0.03978038516259794,0.1726695267498958,4.841347368421053,15.610350034274191,GPR108;PIP4K2A;CD47,Stim8hr,positive
gs_ind_0,Negative Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034122),1/7,0.0275508161589024,0.1726695267498958,58.277389277389275,209.31624639302018,GPR108,Stim8hr,positive
gs_ind_0,Negative Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042532),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,SH2B3,Stim8hr,positive
gs_ind_0,Nucleolar Chromatin Organization (GO:1990700),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,RRP8,Stim8hr,positive
gs_ind_0,Peptidyl-Serine Modification (GO:0018209),3/143,0.019197460250303274,0.1726695267498958,6.485521633264656,25.637119712769767,SBK1;GALNT4;POGLUT2,Stim8hr,positive
gs_ind_0,Peptidyl-Threonine Modification (GO:0018210),2/59,0.023016323588102218,0.1726695267498958,11.160466158673241,42.09227392566292,SBK1;GALNT4,Stim8hr,positive
gs_ind_0,Positive Regulation Of Phagocytosis (GO:0050766),2/44,0.013215594727206736,0.1726695267498958,15.117647058823529,65.40434918193571,CYBA;CD47,Stim8hr,positive
gs_ind_0,Negative Regulation Of Platelet Aggregation (GO:0090331),1/7,0.0275508161589024,0.1726695267498958,58.277389277389275,209.31624639302018,SH2B3,Stim8hr,positive
gs_ind_0,Positive Regulation Of Plasminogen Activation (GO:0010756),1/4,0.015835627064147005,0.1726695267498958,108.25541125541126,448.7720495598028,S100A10,Stim8hr,positive
gs_ind_0,ATP Transport (GO:0015867),1/10,0.03912930776321142,0.1726695267498958,39.864433811802236,129.19598711729856,CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Protein Processing (GO:0010954),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,S100A10,Stim8hr,positive
gs_ind_0,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),3/199,0.04462563197745159,0.1726695267498958,4.6162314182402575,14.353926367062225,SLC39A8;TRAF5;CASP10,Stim8hr,positive
gs_ind_0,Regulation Of Inflammatory Response (GO:0050727),3/175,0.03234371817878932,0.1726695267498958,5.268741418764302,18.078819259392425,SLC39A8;IL10RA;CD47,Stim8hr,positive
gs_ind_0,Regulation Of Interleukin-6 Production (GO:0032675),2/88,0.04788803358837464,0.1726695267498958,7.401525534831059,22.49241916790753,CYBA;CD47,Stim8hr,positive
gs_ind_0,Vitamin D Metabolic Process (GO:0042359),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,CYP2R1,Stim8hr,positive
gs_ind_0,Regulation Of Organelle Assembly (GO:1902115),2/66,0.028351675346799374,0.1726695267498958,9.943658595061136,35.42994323218104,TBC1D1;UBQLN2,Stim8hr,positive
gs_ind_0,Regulation Of Phagocytosis (GO:0050764),2/46,0.014386132699814895,0.1726695267498958,14.43588555542685,61.22967206817659,CYBA;CD47,Stim8hr,positive
gs_ind_0,Regulation Of Plasma Membrane Repair (GO:1905684),1/4,0.015835627064147005,0.1726695267498958,108.25541125541126,448.7720495598028,S100A10,Stim8hr,positive
gs_ind_0,Regulation Of Plasminogen Activation (GO:0010755),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,S100A10,Stim8hr,positive
gs_ind_0,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425),2/39,0.010483316017773778,0.1726695267498958,17.14020618556701,78.12454963662297,IL10RA;SH2B3,Stim8hr,positive
gs_ind_0,Vesicle Organization (GO:0016050),2/79,0.039418900845483634,0.1726695267498958,8.267043565014966,26.73156688726443,S100A10;SNX10,Stim8hr,positive
gs_ind_0,Regulation Of Superoxide Anion Generation (GO:0032928),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,ITGAM,Stim8hr,positive
gs_ind_0,Regulation Of Histone Methylation (GO:0031060),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,RRP8,Stim8hr,positive
gs_ind_0,Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To MHC Molecule On Antigen Presenting Cell (GO:2001188),1/4,0.015835627064147005,0.1726695267498958,108.25541125541126,448.7720495598028,HAVCR2,Stim8hr,positive
gs_ind_0,Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034121),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,GPR108,Stim8hr,positive
gs_ind_0,Regulation Of Tumor Necrosis Factor Production (GO:0032680),3/99,0.007127218802789536,0.1726695267498958,9.476247613853285,46.84899694994971,HAVCR2;CYBA;CD47,Stim8hr,positive
gs_ind_0,Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903555),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,CD47,Stim8hr,positive
gs_ind_0,Regulation Of Type II Interferon Production (GO:0032649),2/73,0.03413164652894239,0.1726695267498958,8.965107057890563,30.279920500933873,HAVCR2;CD47,Stim8hr,positive
gs_ind_0,Response To Acidic pH (GO:0010447),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,GPR65,Stim8hr,positive
gs_ind_0,Response To Chemokine (GO:1990868),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,SH2B3,Stim8hr,positive
gs_ind_0,Sensory Perception Of Pain (GO:0019233),1/10,0.03912930776321142,0.1726695267498958,39.864433811802236,129.19598711729856,RETREG1,Stim8hr,positive
gs_ind_0,Signal Complex Assembly (GO:0007172),1/4,0.015835627064147005,0.1726695267498958,108.25541125541126,448.7720495598028,PXN,Stim8hr,positive
gs_ind_0,Superoxide Anion Generation (GO:0042554),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,CYBA,Stim8hr,positive
gs_ind_0,Synapse Pruning (GO:0098883),1/4,0.015835627064147005,0.1726695267498958,108.25541125541126,448.7720495598028,ITGAM,Stim8hr,positive
gs_ind_0,UV-damage Excision Repair (GO:0070914),1/10,0.03912930776321142,0.1726695267498958,39.864433811802236,129.19598711729856,DDB2,Stim8hr,positive
gs_ind_0,Regulation Of Toll-Like Receptor 2 Signaling Pathway (GO:0034135),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,CYBA,Stim8hr,positive
gs_ind_0,Regulation Of Extracellular Matrix Disassembly (GO:0010715),1/10,0.03912930776321142,0.1726695267498958,39.864433811802236,129.19598711729856,DPP4,Stim8hr,positive
gs_ind_0,Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903069),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,UBQLN2,Stim8hr,positive
gs_ind_0,Regulation Of Dopamine Metabolic Process (GO:0042053),1/4,0.015835627064147005,0.1726695267498958,108.25541125541126,448.7720495598028,ITGAM,Stim8hr,positive
gs_ind_0,Positive Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903428),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,CYBA,Stim8hr,positive
gs_ind_0,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),2/37,0.009470016706490442,0.1726695267498958,18.108755626542763,84.38000333111944,CYBA;ITGAM,Stim8hr,positive
gs_ind_0,Positive Regulation Of Response To Biotic Stimulus (GO:0002833),2/33,0.007584135778270707,0.1726695267498958,20.414825724104073,99.65898555022187,CYBA;ADAM8,Stim8hr,positive
gs_ind_0,Positive Regulation Of Response To External Stimulus (GO:0032103),3/117,0.011244807709872589,0.1726695267498958,7.9749482877499425,35.790362053579514,CYBA;ADAM8;CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Secretion By Cell (GO:1903532),2/58,0.022292083428251928,0.1726695267498958,11.358908858680778,43.20387867258517,S100A10;ADAM8,Stim8hr,positive
gs_ind_0,Negative Regulation Of Cytokine Production (GO:0001818),3/134,0.016170388762423982,0.1726695267498958,6.93444066439864,28.601610641892652,HAVCR2;ANXA4;PPP1R11,Stim8hr,positive
gs_ind_0,Positive Regulation Of Superoxide Anion Generation (GO:0032930),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,ITGAM,Stim8hr,positive
gs_ind_0,Positive Regulation Of T Cell Activation (GO:0050870),2/86,0.04595244994912232,0.1726695267498958,7.57792960409931,23.341145577213812,CCDC88B;CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),2/62,0.025246647302350038,0.1726695267498958,10.604498594189316,39.0146068756671,HAVCR2;CYBA,Stim8hr,positive
gs_ind_0,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),2/66,0.028351675346799374,0.1726695267498958,9.943658595061136,35.42994323218104,HAVCR2;CYBA,Stim8hr,positive
gs_ind_0,Protein Localization To Vacuole (GO:0072665),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,LMBRD1,Stim8hr,positive
gs_ind_0,Protein Maturation (GO:0051604),2/85,0.04499591408297517,0.1726695267498958,7.669300574109513,23.783909098635764,ADAM19;CASP10,Stim8hr,positive
gs_ind_0,Protein O-linked Glycosylation (GO:0006493),2/70,0.03160186386820444,0.1726695267498958,9.359996989991723,32.334476298132394,GALNT4;POGLUT2,Stim8hr,positive
gs_ind_0,Protein O-linked Glycosylation Via Threonine (GO:0018243),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,GALNT4,Stim8hr,positive
gs_ind_0,Protein Polyubiquitination (GO:0000209),3/202,0.04630367969129275,0.1726695267498958,4.545706371191136,13.966836679798948,DDB2;TRAF5;RNF166,Stim8hr,positive
gs_ind_0,Receptor-Mediated Endocytosis (GO:0006898),3/95,0.006359839420804649,0.1726695267498958,9.889217638691322,50.01721177638132,DPP4;ITGAM;LMBRD1,Stim8hr,positive
gs_ind_0,Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,DPP4,Stim8hr,positive
gs_ind_0,Receptor-Mediated Virion Attachment To Host Cell (GO:0046813),1/4,0.015835627064147005,0.1726695267498958,108.25541125541126,448.7720495598028,DPP4,Stim8hr,positive
gs_ind_0,Regulation Of Autophagosome Assembly (GO:2000785),2/36,0.008980810549734776,0.1726695267498958,18.63514119229045,87.82118025870835,PIP4K2A;UBQLN2,Stim8hr,positive
gs_ind_0,Regulation Of Autophagy (GO:0010506),3/206,0.04858956154739057,0.1726695267498958,4.454907539118065,13.473184264856526,IL10RA;PIP4K2A;UBQLN2,Stim8hr,positive
gs_ind_0,Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,DPP4,Stim8hr,positive
gs_ind_0,Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070099),1/3,0.011899914143504548,0.1726695267498958,151.56969696969696,671.6392930902987,SH2B3,Stim8hr,positive
gs_ind_0,Regulation Of Clathrin-Dependent Endocytosis (GO:2000369),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,UBQLN2,Stim8hr,positive
gs_ind_0,Regulation Of Cytokine Production (GO:0001817),3/122,0.012587095173245274,0.1726695267498958,7.638185421713279,33.41769658310939,PPP1R11;CCDC88B;CD47,Stim8hr,positive
gs_ind_0,rDNA Heterochromatin Formation (GO:0000183),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,RRP8,Stim8hr,positive
gs_ind_0,Positive Regulation Of Protein Deacetylation (GO:0090312),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,RRP8,Stim8hr,positive
gs_ind_0,Negative Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070100),1/2,0.00794877816359214,0.1726695267498958,252.63636363636363,1221.4303880163168,SH2B3,Stim8hr,positive
gs_ind_0,Positive Regulation Of Defense Response (GO:0031349),3/95,0.006359839420804649,0.1726695267498958,9.889217638691322,50.01721177638132,CYBA;ADAM8;CD47,Stim8hr,positive
gs_ind_0,Microvillus Assembly (GO:0030033),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,FXYD5,Stim8hr,positive
gs_ind_0,Manganese Ion Transport (GO:0006828),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,SLC39A8,Stim8hr,positive
gs_ind_0,Autophagosome-Lysosome Fusion (GO:0061909),1/7,0.0275508161589024,0.1726695267498958,58.277389277389275,209.31624639302018,PIP4K2A,Stim8hr,positive
gs_ind_0,Growth Hormone Receptor Signaling Pathway (GO:0060396),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,PXN,Stim8hr,positive
gs_ind_0,Amyloid Precursor Protein Catabolic Process (GO:0042987),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,ADAM19,Stim8hr,positive
gs_ind_0,Membrane Raft Organization (GO:0031579),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,S100A10,Stim8hr,positive
gs_ind_0,Epithelial Cell Migration (GO:0010631),2/35,0.008503362982984505,0.1726695267498958,19.19295276196338,91.4984398821461,PXN;DPP4,Stim8hr,positive
gs_ind_0,Iron Ion Transmembrane Transport (GO:0034755),1/8,0.03142542442984471,0.1726695267498958,50.5030303030303,174.74745519977472,SLC39A8,Stim8hr,positive
gs_ind_0,Cytochrome Complex Assembly (GO:0017004),1/7,0.0275508161589024,0.1726695267498958,58.277389277389275,209.31624639302018,CYBA,Stim8hr,positive
gs_ind_0,Membrane Organization (GO:0061024),3/136,0.016817776238692152,0.1726695267498958,6.829450029568303,27.900480889913755,S100A10;DPP4;REEP5,Stim8hr,positive
gs_ind_0,Arginine Metabolic Process (GO:0006525),1/5,0.019755975904713657,0.1726695267498958,84.1919191919192,330.39428584172276,SLC39A8,Stim8hr,positive
gs_ind_0,Cellular Response To Growth Hormone Stimulus (GO:0071378),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,PXN,Stim8hr,positive
gs_ind_0,Megakaryocyte Differentiation (GO:0030219),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,SH2B3,Stim8hr,positive
gs_ind_0,Megakaryocyte Development (GO:0035855),1/7,0.0275508161589024,0.1726695267498958,58.277389277389275,209.31624639302018,SH2B3,Stim8hr,positive
gs_ind_0,Facultative Heterochromatin Formation (GO:0140718),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,RRP8,Stim8hr,positive
gs_ind_0,Erythrocyte Development (GO:0048821),1/10,0.03912930776321142,0.1726695267498958,39.864433811802236,129.19598711729856,SH2B3,Stim8hr,positive
gs_ind_0,Endothelial Cell Migration (GO:0043542),2/32,0.007142553640588471,0.1726695267498958,21.085854318066588,104.1996481787996,PXN;DPP4,Stim8hr,positive
gs_ind_0,Maintenance Of Gastrointestinal Epithelium (GO:0030277),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,IL10RA,Stim8hr,positive
gs_ind_0,Endoplasmic Reticulum Membrane Organization (GO:0090158),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,REEP5,Stim8hr,positive
gs_ind_0,Bicarbonate Transport (GO:0015701),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,SLC39A8,Stim8hr,positive
gs_ind_0,Embryonic Hemopoiesis (GO:0035162),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,SH2B3,Stim8hr,positive
gs_ind_0,Ectoderm Development (GO:0007398),1/7,0.0275508161589024,0.1726695267498958,58.277389277389275,209.31624639302018,ITGAM,Stim8hr,positive
gs_ind_0,Hydrogen Peroxide Biosynthetic Process (GO:0050665),1/3,0.011899914143504548,0.1726695267498958,151.56969696969696,671.6392930902987,CYBA,Stim8hr,positive
gs_ind_0,Intracellular Cholesterol Transport (GO:0032367),1/13,0.050572664738463204,0.1726695267498958,30.28969696969697,90.39487757061141,PIP4K2A,Stim8hr,positive
gs_ind_0,Myeloid Leukocyte Differentiation (GO:0002573),2/62,0.025246647302350038,0.1726695267498958,10.604498594189316,39.0146068756671,SNX10;CASP10,Stim8hr,positive
