target_contrast_gene_name,gate_pass,best_condition,fail_primary,failure_reasons,n_cells_best,de_genes_best,significant_any,offtarget_any,n_conditions
ABHD5,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),771,4,True,False,3
ABHD6,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),390,21,True,False,3
ABHD8,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),278,3,True,False,3
ABI1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),433,2,True,False,3
ABI2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),293,5,True,False,3
ABI3,False,Rest,Too few cells (n<200),Too few cells (n<200),41,1036,True,True,3
ABITRAM,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),211,0,False,True,3
ABL1,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),444,1,False,False,3
ABL2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1017,10,True,False,3
ABLIM3,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),357,2,False,False,3
ABRACL,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),711,1,True,False,3
ABRAXAS1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),557,6,True,False,3
ABRAXAS2,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),825,3,True,False,3
ABT1,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant,70,53,False,False,1
ABTB1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1038,5,True,False,3
ABTB2,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),729,1,True,False,3
ABTB3,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),784,6,True,False,3
ACAA1,False,Stim48hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),532,5,True,True,3
ACAA2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),907,6,True,False,3
ACACA,True,Stim48hr,PASS,,904,913,True,False,3
ACACB,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),1525,1,False,False,3
ACAD10,False,Rest,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),1439,9,True,True,3
ACAD11,False,Rest,Off-target flagged,Off-target flagged,501,610,True,True,3
ACAD8,False,Stim8hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),480,3,True,True,3
ACAD9,True,Stim48hr,PASS,,688,607,True,False,3
ACADM,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),866,3,True,False,3
ACADS,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),352,30,True,False,3
ACADSB,False,Stim8hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),857,3,True,True,3
ACADVL,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),339,5,True,False,3
ACAP1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),690,3,True,False,3
ACAP2,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),507,2,True,False,3
ACAP3,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),411,9,True,False,3
ACAT1,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),740,2,True,False,3
ACAT2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),505,6,True,False,3
ACBD3,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),489,4,True,False,3
ACBD4,False,Rest,Too few cells (n<200),Too few cells (n<200); Not statistically significant; Too few downstream DE genes (<50),103,7,False,False,3
ACBD5,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1186,6,True,False,3
ACBD6,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),616,4,True,False,3
ACCS,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),617,2,True,False,3
ACD,False,Stim48hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant; Too few downstream DE genes (<50),37,13,False,False,1
ACE,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),356,1,False,False,3
ACER1,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),486,0,False,False,3
ACER2,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),1128,8,False,False,3
ACER3,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1054,4,True,False,3
ACIN1,False,Stim8hr,Not statistically significant,Not statistically significant; Off-target flagged; Too few downstream DE genes (<50),221,7,False,True,3
ACKR3,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),802,2,False,False,3
ACLY,True,Stim48hr,PASS,,282,2432,True,False,3
ACO1,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),550,1,True,False,3
ACO2,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant,172,59,False,False,3
ACOT13,False,Stim48hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),779,3,True,True,3
ACOT2,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),779,1,False,False,3
ACOT4,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),694,1,True,False,3
ACOT7,True,Stim48hr,PASS,,448,845,True,False,3
ACOT8,False,Stim48hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),1134,6,True,True,3
ACOT9,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),395,7,True,False,3
ACOX1,False,Stim48hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),605,8,True,True,3
ACOX3,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),861,3,True,False,3
ACP1,False,Stim48hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),780,5,True,True,3
ACP2,False,Stim48hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),1051,4,True,True,3
ACP5,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),439,4,True,False,3
ACP6,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),688,8,True,False,3
ACRBP,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),442,4,False,False,3
ACSF2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1537,1,True,False,3
ACSF3,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),520,2,True,False,3
ACSL1,False,Stim48hr,Too few cells (n<200),Too few cells (n<200),191,110,True,False,3
ACSL3,True,Stim48hr,PASS,,585,54,True,False,3
ACSL4,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),808,5,True,False,3
ACSL5,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1961,5,True,False,3
ACSL6,False,Rest,Too few cells (n<200),Too few cells (n<200),99,290,True,False,3
ACSM3,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1823,2,True,False,3
ACSS1,True,Rest,PASS,,964,357,True,False,3
ACSS2,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),772,12,True,True,3
ACTA2,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),611,1,False,False,3
ACTB,False,Rest,Not statistically significant,Not statistically significant,535,213,False,False,3
ACTG1,False,Stim48hr,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),153,3,True,False,3
ACTMAP,True,Rest,PASS,,366,95,True,True,3
ACTN1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),301,2,True,False,3
ACTN4,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),500,4,True,False,3
ACTR1A,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),685,2,True,False,3
ACTR1B,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),363,2,True,False,3
ACTR2,True,Stim8hr,PASS,,255,583,True,False,3
ACTR3,True,Stim8hr,PASS,,274,209,True,False,3
ACTR3B,False,Stim48hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant; Too few downstream DE genes (<50),73,6,False,False,3
ACTR3C,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),486,1,False,False,3
ACTR5,True,Stim8hr,PASS,,1218,585,True,False,3
ACTR8,False,Rest,Too few cells (n<200),Too few cells (n<200),199,920,True,True,3
ACVR1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),288,11,True,False,3
ACVR1B,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),639,1,True,False,3
ACVR1C,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1133,2,True,False,3
ACVR2A,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),937,23,True,False,3
ACVR2B,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),440,2,True,False,3
ACY1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),754,1,True,False,3
ACYP1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),281,4,True,False,3
ACYP2,True,Stim48hr,PASS,,639,402,True,False,3
ADA,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),533,1,True,False,3
ADA2,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),303,3,True,False,3
ADAM10,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),47,30,True,False,3
ADAM12,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),1351,0,False,False,3
ADAM15,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),327,6,True,False,3
ADAM17,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1110,2,True,False,3
ADAM19,True,Stim8hr,PASS,,223,402,True,False,3
ADAM22,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),552,4,False,False,3
ADAM23,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),628,5,False,False,3
ADAM28,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),729,0,False,False,3
ADAM8,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),583,7,True,False,3
ADAM9,True,Rest,PASS,,322,97,True,True,3
ADAMTS1,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),270,4,False,False,3
ADAMTS10,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1051,6,True,False,3
ADAMTS17,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),661,6,False,False,3
ADAMTS6,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1604,12,True,False,3
ADAMTSL5,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),418,4,False,False,3
ADAP1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),622,1,True,False,3
ADAR,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),92,4,True,False,2
ADARB1,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),641,3,True,False,3
ADARB2,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),475,1,False,False,3
ADAT1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),437,6,True,False,3
ADAT2,False,Stim8hr,Off-target flagged,Off-target flagged,287,528,True,True,3
ADAT3,False,Rest,Not statistically significant,Not statistically significant,497,937,False,False,3
ADCK1,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),642,2,False,False,3
ADCK2,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),730,2,True,False,3
ADCK5,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1141,2,True,False,3
ADCY1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),659,2,True,False,3
ADCY3,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),641,3,True,False,3
ADCY4,True,Stim48hr,PASS,,405,221,True,False,3
ADCY7,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1068,2,True,False,3
ADCY9,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),775,5,True,False,3
ADD1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),642,10,True,False,3
ADD2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),424,3,True,False,3
ADD3,False,Stim48hr,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),180,4,True,False,3
ADGRA3,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),655,2,True,False,3
ADGRB2,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),245,1,False,False,3
ADGRE2,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),953,1,False,False,3
ADGRE5,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),608,2,True,False,3
ADGRG1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),348,10,True,False,3
ADGRG5,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),410,39,True,False,3
ADGRL1,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),527,17,False,False,3
ADGRV1,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),948,3,False,False,3
ADH1B,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),730,0,False,False,3
ADH5,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),659,2,True,False,3
ADHFE1,False,Stim48hr,Too few cells (n<200),Too few cells (n<200),99,184,True,False,3
ADI1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),749,6,True,False,3
ADIPOR1,False,Stim48hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),886,5,True,True,3
ADIPOR2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),451,2,True,False,3
ADIRF,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),1310,1,False,False,3
ADISSP,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),599,1,True,False,3
ADK,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),886,2,True,False,3
ADM,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),411,2,False,False,3
ADM5,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1952,32,True,False,3
ADNP,True,Stim8hr,PASS,,1221,50,True,False,3
ADNP2,True,Stim48hr,PASS,,1307,97,True,False,3
ADO,False,Rest,Too few cells (n<200),Too few cells (n<200),139,668,True,False,3
ADORA2A,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),807,8,True,False,3
ADORA2B,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),555,3,False,False,3
ADPGK,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),943,2,True,False,3
ADPRH,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),345,9,True,False,3
ADPRM,False,Stim48hr,Off-target flagged,Off-target flagged,736,460,True,True,3
ADPRS,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),222,14,True,False,3
ADRB2,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),632,6,True,False,3
ADRM1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),275,31,True,False,3
ADSS2,False,Rest,Too few cells (n<200),Too few cells (n<200),37,466,True,False,2
ADTRP,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),980,1,False,False,3
AEBP1,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),306,1,False,False,3
AEBP2,True,Stim48hr,PASS,,575,510,True,False,3
AEN,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),611,3,True,False,3
AFAP1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),459,12,True,False,2
AFAP1L2,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),828,1,False,False,3
AFDN,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),381,3,True,False,3
AFF1,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),543,29,False,False,3
AFF2,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),590,0,False,False,3
AFF3,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),454,0,False,False,3
AFF4,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),837,10,True,False,3
AFG2A,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant; Too few downstream DE genes (<50),89,5,False,False,1
AFG2B,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),387,2,False,False,3
AFG3L2,False,Stim48hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant,43,171,False,False,3
AFMID,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),394,3,False,False,3
AFTPH,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),435,9,True,False,3
AGA,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),418,2,True,False,3
AGAP1,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),661,2,False,False,3
AGAP2,False,Stim8hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),632,6,True,True,3
AGAP3,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1426,4,True,False,3
AGAP4,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),259,4,False,False,3
AGAP5,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),708,0,False,False,3
AGAP6,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),565,11,False,False,3
AGAP9,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),468,1,False,False,3
AGBL2,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),892,3,False,False,3
AGBL5,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),327,25,True,False,3
AGER,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),350,0,False,True,3
AGFG1,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),362,10,False,False,3
AGFG2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),587,4,True,False,3
AGGF1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),585,11,True,False,3
AGK,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),314,10,True,False,3
AGL,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),911,1,True,False,3
AGMAT,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),373,2,True,False,3
AGO1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),311,7,True,False,3
AGO2,False,Stim48hr,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),131,1,True,False,3
AGO3,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),573,4,True,False,3
AGO4,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),236,0,False,False,2
AGPAT1,False,Rest,Too few cells (n<200),Too few cells (n<200); Off-target flagged,109,203,True,True,3
AGPAT2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),687,3,True,False,3
AGPAT3,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),280,3,True,False,3
AGPAT4,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),253,3,True,False,3
AGPAT5,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),575,2,True,False,3
AGPS,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),669,2,True,False,3
AGR2,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),992,3,False,False,3
AGR3,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),601,2,False,False,3
AGRN,False,Rest,Not statistically significant,Not statistically significant,273,66,True,False,3
AGTPBP1,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1294,9,True,False,3
AGTRAP,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),437,2,True,False,3
AHCYL1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),294,7,True,False,3
AHCYL2,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),295,0,False,False,3
AHDC1,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1206,9,True,False,3
AHI1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),627,2,True,False,3
AHNAK,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),212,22,True,False,3
AHR,True,Rest,PASS,,1214,2790,True,False,3
AHRR,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),489,2,True,False,3
AHSA1,True,Rest,PASS,,1211,63,True,True,3
AHSP,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),460,0,False,False,3
AIDA,False,Rest,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),452,4,True,True,3
AIF1,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),950,1,True,False,3
AIFM1,False,Stim8hr,Off-target flagged,Off-target flagged,265,58,True,True,3
AIFM2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),783,1,True,False,3
