ensembl_id,gene_symbol,loeuf,pli
ENSG00000123983,ACSL3,0.605,0.010744
ENSG00000197142,ACSL5,0.702,1.4483e-07
ENSG00000164398,ACSL6,0.584,0.0007987
ENSG00000166743,ACSM1,1.248,2.6229e-26
ENSG00000183747,ACSM2A,1.233,3.0224000000000004e-25
ENSG00000066813,ACSM2B,0.956,1.3754e-15
ENSG00000005187,ACSM3,0.999,5.1473e-16
ENSG00000215009,ACSM4,1.072,1.0931e-19
ENSG00000183549,ACSM5,1.003,1.6829e-15
ENSG00000154930,ACSS1,0.712,7.0052e-07
ENSG00000131069,ACSS2,0.785,5.553e-10
ENSG00000111058,ACSS3,0.931,2.5819e-14
ENSG00000143632,ACTA1,0.931,3.1036e-06
ENSG00000107796,ACTA2,0.472,0.99431
ENSG00000075624,ACTB,0.193,1.0
ENSG00000169067,ACTBL2,1.624,1.9762e-12
ENSG00000159251,ACTC1,0.511,0.97314
ENSG00000184009,ACTG1,0.617,0.45871
ENSG00000163017,ACTG2,0.626,0.28166
ENSG00000288649,ACTL10,1.947,0.0027436
ENSG00000136518,ACTL6A,0.186,1.0
ENSG00000077080,ACTL6B,0.954,9.6229e-13
ENSG00000187003,ACTL7A,1.182,1.0553e-08
ENSG00000148156,ACTL7B,1.414,1.8885e-07
ENSG00000117148,ACTL8,0.756,0.60141
ENSG00000181786,ACTL9,1.575,0.18716
ENSG00000072110,ACTN1,0.331,1.0
ENSG00000077522,ACTN2,0.432,0.99996
ENSG00000248746,ACTN3,0.944,1.1649000000000001e-24
ENSG00000130402,ACTN4,0.238,1.0
ENSG00000131966,ACTR10,1.148,5.1056e-05
ENSG00000138107,ACTR1A,0.337,0.99999
ENSG00000115073,ACTR1B,0.968,2.6759e-09
ENSG00000138071,ACTR2,0.177,1.0
ENSG00000115091,ACTR3,0.461,0.99496
ENSG00000133627,ACTR3B,0.328,0.99999
ENSG00000106526,ACTR3C,1.046,0.00028858
ENSG00000101442,ACTR5,0.986,1.2267e-12
ENSG00000075089,ACTR6,1.017,2.2941e-06
ENSG00000113812,ACTR8,1.033,7.1878e-17
ENSG00000169717,ACTRT2,1.307,0.28829
ENSG00000184378,ACTRT3,1.242,4.6633e-07
ENSG00000115170,ACVR1,0.835,2.4131e-08
ENSG00000135503,ACVR1B,0.403,0.99992
ENSG00000123612,ACVR1C,0.6,0.17453
ENSG00000121989,ACVR2A,0.222,1.0
ENSG00000114739,ACVR2B,0.408,0.99995
ENSG00000139567,ACVRL1,0.57,0.51066
ENSG00000243989,ACY1,0.9,1.516e-09
ENSG00000132744,ACY3,1.196,1.6724e-06
ENSG00000119640,ACYP1,1.301,0.0058814
ENSG00000170634,ACYP2,1.728,0.067045
ENSG00000196839,ADA,1.184,9.64e-15
ENSG00000093072,ADA2,0.879,5.39e-06
ENSG00000164113,ADAD1,0.778,4.1725e-06
ENSG00000140955,ADAD2,1.524,4.0954000000000005e-25
ENSG00000168803,ADAL,1.204,7.6328e-10
ENSG00000137845,ADAM10,0.276,1.0
ENSG00000073670,ADAM11,0.584,0.00045604
ENSG00000148848,ADAM12,0.818,9.8869e-15
ENSG00000143537,ADAM15,0.826,1.2469e-17
ENSG00000151694,ADAM17,0.565,0.10138
ENSG00000168619,ADAM18,1.585,2.4743000000000002e-29
ENSG00000135074,ADAM19,0.739,2.7622e-13
ENSG00000104755,ADAM2,1.188,4.654e-11
ENSG00000134007,ADAM20,1.933,0.11894
ENSG00000139985,ADAM21,1.913,0.1411
ENSG00000008277,ADAM22,0.518,0.55288
ENSG00000114948,ADAM23,0.416,0.99999
ENSG00000042980,ADAM28,1.23,1.434e-25
ENSG00000168594,ADAM29,1.939,0.0081078
ENSG00000134249,ADAM30,1.903,0.15001
ENSG00000197140,ADAM32,1.041,5.8986e-14
ENSG00000149451,ADAM33,1.291,6.2756e-39
ENSG00000069206,ADAM7,1.16,2.2771999999999997e-22
ENSG00000151651,ADAM8,1.423,2.8382999999999997e-40
ENSG00000168615,ADAM9,0.575,0.0018051
ENSG00000134028,ADAMDEC1,1.234,1.3303e-14
ENSG00000154734,ADAMTS1,0.329,1.0
ENSG00000142303,ADAMTS10,0.467,0.99647
ENSG00000151388,ADAMTS12,0.782,2.9445e-26
ENSG00000160323,ADAMTS13,0.917,9.996300000000001e-30
ENSG00000138316,ADAMTS14,0.966,2.8381e-27
ENSG00000166106,ADAMTS15,0.599,0.034184
ENSG00000145536,ADAMTS16,0.794,1.8384e-19
ENSG00000140470,ADAMTS17,0.966,2.2942e-31
ENSG00000140873,ADAMTS18,1.055,1.0763e-48
ENSG00000145808,ADAMTS19,0.83,5.2776e-18
ENSG00000087116,ADAMTS2,0.568,0.0010101
ENSG00000173157,ADAMTS20,0.947,5.8816e-51
ENSG00000156140,ADAMTS3,0.67,1.2131e-09
ENSG00000158859,ADAMTS4,0.732,9.9457e-07
ENSG00000154736,ADAMTS5,0.818,7.5384e-12
ENSG00000049192,ADAMTS6,0.228,1.0
ENSG00000136378,ADAMTS7,0.761,6.597800000000001e-19
ENSG00000134917,ADAMTS8,1.076,1.1516e-15
ENSG00000163638,ADAMTS9,0.469,0.86871
ENSG00000178031,ADAMTSL1,0.744,1.5858000000000001e-24
ENSG00000197859,ADAMTSL2,0.679,2.271e-08
ENSG00000156218,ADAMTSL3,0.692,2.8223e-20
ENSG00000143382,ADAMTSL4,0.92,1.1088e-25
ENSG00000185761,ADAMTSL5,1.407,7.070499999999999e-23
ENSG00000105963,ADAP1,0.949,5.3209e-08
ENSG00000184060,ADAP2,1.031,1.9318e-11
ENSG00000160710,ADAR,0.449,0.99972
ENSG00000197381,ADARB1,0.323,1.0
ENSG00000185736,ADARB2,0.681,0.0044744
ENSG00000065457,ADAT1,1.193,2.0916000000000002e-19
ENSG00000189007,ADAT2,1.326,3.754e-08
ENSG00000213638,ADAT3,1.929,0.00056981
ENSG00000063761,ADCK1,0.916,5.801e-09
ENSG00000133597,ADCK2,0.921,2.7368e-09
ENSG00000173137,ADCK5,0.999,4.5106e-11
ENSG00000164742,ADCY1,0.346,1.0
ENSG00000143199,ADCY10,0.922,1.2558999999999999e-38
ENSG00000078295,ADCY2,0.329,1.0
ENSG00000138031,ADCY3,0.695,3.8965e-11
ENSG00000129467,ADCY4,1.089,2.5047e-35
ENSG00000173175,ADCY5,0.326,1.0
ENSG00000174233,ADCY6,0.639,1.356e-07
ENSG00000121281,ADCY7,0.738,2.9515e-13
ENSG00000155897,ADCY8,0.586,0.00049635
ENSG00000162104,ADCY9,0.603,6.106e-05
ENSG00000141433,ADCYAP1,0.864,0.22329
ENSG00000078549,ADCYAP1R1,0.797,7.4456e-09
ENSG00000087274,ADD1,0.387,1.0
ENSG00000075340,ADD2,0.388,1.0
ENSG00000148700,ADD3,0.395,0.99998
ENSG00000118492,ADGB,0.941,1.5097e-32
ENSG00000197177,ADGRA1,1.025,0.0024377
ENSG00000020181,ADGRA2,0.943,1.2256e-15
ENSG00000152990,ADGRA3,0.607,4.5445e-05
ENSG00000181790,ADGRB1,0.372,1.0
ENSG00000121753,ADGRB2,0.383,1.0
ENSG00000135298,ADGRB3,0.246,1.0
ENSG00000111452,ADGRD1,0.826,5.0406e-12
ENSG00000174837,ADGRE1,0.951,2.7265e-22
ENSG00000127507,ADGRE2,1.028,3.7208e-23
ENSG00000131355,ADGRE3,1.265,2.5264000000000002e-24
ENSG00000123146,ADGRE5,0.973,9.3388e-19
ENSG00000153292,ADGRF1,1.247,5.3118e-24
ENSG00000173567,ADGRF3,1.069,4.7081e-26
ENSG00000153294,ADGRF4,1.36,1.1036e-16
ENSG00000069122,ADGRF5,0.719,5.3761e-08
ENSG00000205336,ADGRG1,0.871,6.3056e-12
ENSG00000182885,ADGRG3,0.93,1.1337e-09
ENSG00000159618,ADGRG5,0.982,9.8434e-10
ENSG00000112414,ADGRG6,0.63,0.16537
ENSG00000144820,ADGRG7,1.194,1.4692e-15
ENSG00000072071,ADGRL1,0.302,1.0
ENSG00000117114,ADGRL2,0.301,1.0
ENSG00000150471,ADGRL3,0.451,0.99956
ENSG00000162618,ADGRL4,1.44,1.7279e-27
ENSG00000164199,ADGRV1,0.637,6.4034e-36
ENSG00000187758,ADH1A,1.104,8.7674e-09
ENSG00000196616,ADH1B,1.013,1.2869e-06
ENSG00000248144,ADH1C,0.991,5.1629e-07
ENSG00000198099,ADH4,1.077,1.8113e-06
ENSG00000197894,ADH5,1.191,9.2579e-09
ENSG00000172955,ADH6,1.263,5.8588e-11
ENSG00000196344,ADH7,1.429,6.4586e-15
ENSG00000147576,ADHFE1,0.966,9.9156e-09
ENSG00000182551,ADI1,1.713,1.0815e-10
ENSG00000182035,ADIG,1.845,1.2014e-05
ENSG00000181092,ADIPOQ,1.655,3.6258e-09
ENSG00000159346,ADIPOR1,0.571,0.7792
ENSG00000006831,ADIPOR2,0.636,0.17629
ENSG00000148671,ADIRF,1.788,0.00011975
ENSG00000156110,ADK,0.893,0.00021733
ENSG00000148926,ADM,0.581,0.90376
ENSG00000128165,ADM2,1.901,0.00012314
ENSG00000224420,ADM5,1.818,0.21076
ENSG00000101126,ADNP,0.106,1.0
ENSG00000101544,ADNP2,0.896,0.18308
ENSG00000181915,ADO,1.476,0.0012344
ENSG00000163485,ADORA1,0.598,0.86185
ENSG00000128271,ADORA2A,0.846,0.030226
ENSG00000170425,ADORA2B,1.412,3.4881e-08
ENSG00000282608,ADORA3,1.204,0.12765
ENSG00000159322,ADPGK,0.937,8.237e-07
ENSG00000144843,ADPRH,1.165,6.5355e-09
ENSG00000153531,ADPRHL1,1.264,6.3996e-15
ENSG00000170222,ADPRM,0.959,0.00024482
ENSG00000116863,ADPRS,1.155,3.3734e-08
ENSG00000120907,ADRA1A,1.343,3.6545e-11
ENSG00000170214,ADRA1B,1.449,1.8158e-06
ENSG00000171873,ADRA1D,1.772,4.4147e-10
ENSG00000150594,ADRA2A,1.783,0.0045237
ENSG00000274286,ADRA2B,1.556,8.3783e-07
ENSG00000184160,ADRA2C,1.116,0.16791
ENSG00000043591,ADRB1,1.939,0.11145
ENSG00000169252,ADRB2,0.901,0.001018
ENSG00000188778,ADRB3,1.952,2.8276e-16
ENSG00000130706,ADRM1,0.188,1.0
ENSG00000239900,ADSL,0.915,2.8047e-10
ENSG00000185100,ADSS1,1.245,9.893e-19
ENSG00000035687,ADSS2,0.646,0.13716
ENSG00000111863,ADTRP,1.074,1.4591e-05
ENSG00000106624,AEBP1,0.735,6.2634e-13
ENSG00000139154,AEBP2,0.461,0.9868
ENSG00000181026,AEN,1.666,8.6278e-09
ENSG00000196526,AFAP1,0.918,1.2782e-17
ENSG00000157510,AFAP1L1,0.944,1.0845e-20
ENSG00000169129,AFAP1L2,0.605,0.00032142
ENSG00000130396,AFDN,0.398,1.0
ENSG00000172493,AFF1,0.49,0.94566
ENSG00000144218,AFF3,0.318,1.0
ENSG00000072364,AFF4,0.114,1.0
ENSG00000135537,AFG1L,1.018,5.7967e-05
ENSG00000141385,AFG3L2,0.724,1.0227e-08
ENSG00000079557,AFM,1.44,2.2172000000000002e-25
ENSG00000183077,AFMID,1.018,5.3725e-11
ENSG00000081051,AFP,0.963,5.2276e-14
ENSG00000038002,AGA,0.938,3.0493e-05
ENSG00000157985,AGAP1,0.366,1.0
ENSG00000135439,AGAP2,0.414,0.99999
ENSG00000133612,AGAP3,0.359,1.0
ENSG00000188234,AGAP4,0.761,0.19089
ENSG00000172650,AGAP5,0.717,0.46601
ENSG00000204149,AGAP6,0.757,5.9877e-05
ENSG00000204172,AGAP9,0.823,0.000495
ENSG00000273540,AGBL1,1.313,2.6955999999999997e-46
ENSG00000165923,AGBL2,0.944,1.2893e-17
ENSG00000146856,AGBL3,0.893,9.5555e-11
ENSG00000186094,AGBL4,1.107,3.9504e-15
ENSG00000084693,AGBL5,0.709,1.6548e-08
ENSG00000204305,AGER,1.068,2.6621e-14
ENSG00000173744,AGFG1,0.286,1.0
ENSG00000106351,AGFG2,0.873,2.0088e-06
ENSG00000164252,AGGF1,0.808,4.6139e-09
ENSG00000006530,AGK,0.918,7.3523e-06
ENSG00000162688,AGL,0.72,1.0329999999999999e-22
ENSG00000116771,AGMAT,1.712,4.9676e-16
ENSG00000187546,AGMO,1.561,6.4021e-16
ENSG00000092847,AGO1,0.164,1.0
ENSG00000123908,AGO2,0.102,1.0
ENSG00000126070,AGO3,0.232,1.0
ENSG00000134698,AGO4,0.393,1.0
ENSG00000204310,AGPAT1,0.367,0.99968
ENSG00000169692,AGPAT2,1.199,7.177e-06
ENSG00000160216,AGPAT3,0.21,1.0
ENSG00000026652,AGPAT4,0.461,0.9973
ENSG00000155189,AGPAT5,1.391,3.3307e-14
ENSG00000018510,AGPS,0.408,0.99977
ENSG00000106541,AGR2,1.34,1.6551e-07
ENSG00000173467,AGR3,1.932,2.711e-09
ENSG00000188157,AGRN,0.73,1.5815e-20
ENSG00000159723,AGRP,1.091,0.018192
ENSG00000135744,AGT,1.202,1.6897e-08
ENSG00000135049,AGTPBP1,0.556,0.0066485
ENSG00000144891,AGTR1,1.113,7.219e-05
ENSG00000177674,AGTRAP,0.838,0.12563
ENSG00000172482,AGXT,1.251,2.0059e-14
ENSG00000113492,AGXT2,1.185,1.3802e-18
ENSG00000153207,AHCTF1,0.142,1.0
ENSG00000101444,AHCY,0.727,0.00093098
ENSG00000168710,AHCYL1,0.34,1.0
ENSG00000158467,AHCYL2,0.516,0.91149
ENSG00000126705,AHDC1,0.168,1.0
ENSG00000135541,AHI1,1.069,2.6598000000000003e-30
ENSG00000124942,AHNAK,0.793,0.0002226
ENSG00000185567,AHNAK2,0.917,0.00025356
ENSG00000106546,AHR,0.606,0.007994
ENSG00000063438,AHRR,0.897,1.1095e-06
ENSG00000100591,AHSA1,0.505,0.97802
ENSG00000145192,AHSG,1.042,1.136e-05
ENSG00000169877,AHSP,1.947,0.0027368
ENSG00000111732,AICDA,1.144,1.2839e-05
ENSG00000186063,AIDA,0.545,0.93307
ENSG00000204472,AIF1,1.407,1.9979e-07
ENSG00000126878,AIF1L,1.102,0.0012316
ENSG00000042286,AIFM2,1.404,1.6036e-13
ENSG00000183773,AIFM3,1.109,2.2617e-22
ENSG00000146416,AIG1,1.279,6.8925e-07
ENSG00000163568,AIM2,1.421,1.1254e-11
ENSG00000164022,AIMP1,0.931,6.2809e-05
ENSG00000106305,AIMP2,1.107,2.3887e-06
ENSG00000110711,AIP,0.626,0.28135
ENSG00000129221,AIPL1,1.01,7.0113e-07
ENSG00000160224,AIRE,1.169,2.864e-16
ENSG00000196581,AJAP1,0.376,0.99921
ENSG00000232434,AJM1,1.162,2.4787e-06
ENSG00000129474,AJUBA,0.581,0.4294
ENSG00000106992,AK1,0.873,0.0078122
ENSG00000004455,AK2,0.954,0.00086478
ENSG00000147853,AK3,1.602,3.3565e-10
ENSG00000162433,AK4,0.942,0.010184
ENSG00000154027,AK5,0.5,0.97996
ENSG00000085231,AK6,1.377,9.1273e-09
ENSG00000140057,AK7,0.945,1.1629e-15
ENSG00000165695,AK8,1.12,1.1284e-13
ENSG00000155085,AK9,0.848,2.6186e-37
ENSG00000231824,AKAIN1,1.506,0.11342
ENSG00000121057,AKAP1,0.526,0.67115
ENSG00000108599,AKAP10,0.381,0.99999
ENSG00000023516,AKAP11,0.319,1.0
ENSG00000131016,AKAP12,0.496,0.97372
ENSG00000170776,AKAP13,0.362,1.0
ENSG00000111254,AKAP3,0.62,0.021293
ENSG00000179841,AKAP5,0.698,0.66209
ENSG00000151320,AKAP6,0.367,1.0
ENSG00000118507,AKAP7,1.33,6.8781e-09
ENSG00000105127,AKAP8,0.48,0.99314
ENSG00000011243,AKAP8L,0.592,0.018734
ENSG00000127914,AKAP9,0.662,1.5523999999999999e-43
ENSG00000166452,AKIP1,1.324,1.0825e-05
ENSG00000174574,AKIRIN1,0.435,0.99261
ENSG00000135334,AKIRIN2,0.459,0.99192
ENSG00000106948,AKNA,0.631,2.1934e-08
ENSG00000162641,AKNAD1,0.912,2.093e-16
ENSG00000117448,AKR1A1,0.871,6.6523e-06
ENSG00000085662,AKR1B1,0.75,0.00073369
ENSG00000198074,AKR1B10,1.324,1.2141e-13
ENSG00000227471,AKR1B15,1.527,8.3094e-18
ENSG00000187134,AKR1C1,1.255,3.345e-10
ENSG00000151632,AKR1C2,1.035,8.8515e-07
ENSG00000196139,AKR1C3,1.34,8.9689e-11
ENSG00000198610,AKR1C4,1.337,5.3623e-13
ENSG00000122787,AKR1D1,1.157,7.4662e-09
ENSG00000165568,AKR1E2,1.302,2.5795e-15
ENSG00000053371,AKR7A2,1.062,9.4203e-09
ENSG00000162482,AKR7A3,1.409,5.944e-14
ENSG00000142208,AKT1,0.474,0.99545
ENSG00000204673,AKT1S1,1.49,1.3423e-06
ENSG00000105221,AKT2,0.398,0.99996
ENSG00000117020,AKT3,0.482,0.99015
ENSG00000166971,AKTIP,0.612,0.37378
ENSG00000148218,ALAD,0.63,0.097632
ENSG00000023330,ALAS1,0.649,0.0028188
ENSG00000163631,ALB,0.577,0.1093
ENSG00000170017,ALCAM,0.474,0.99519
ENSG00000161618,ALDH16A1,1.183,4.4086e-30
ENSG00000059573,ALDH18A1,0.617,0.00013089
ENSG00000165092,ALDH1A1,0.542,0.87463
ENSG00000128918,ALDH1A2,0.581,0.16502
ENSG00000184254,ALDH1A3,0.667,0.0037408
ENSG00000137124,ALDH1B1,1.029,3.6419e-06
ENSG00000144908,ALDH1L1,0.822,2.5911e-15
ENSG00000136010,ALDH1L2,0.974,3.7563000000000003e-25
ENSG00000111275,ALDH2,0.989,5.9378e-11
ENSG00000108602,ALDH3A1,1.246,3.5553e-16
ENSG00000072210,ALDH3A2,0.972,8.6514e-09
ENSG00000006534,ALDH3B1,1.217,5.5371e-12
ENSG00000159423,ALDH4A1,0.902,2.0602e-11
ENSG00000112294,ALDH5A1,0.852,2.1451e-07
ENSG00000119711,ALDH6A1,0.835,4.5152e-09
ENSG00000164904,ALDH7A1,0.983,1.2571e-16
ENSG00000118514,ALDH8A1,1.113,5.3411e-12
ENSG00000143149,ALDH9A1,0.887,4.3291e-08
ENSG00000149925,ALDOA,0.821,2.3604e-05
ENSG00000136872,ALDOB,1.183,2.3588e-11
ENSG00000109107,ALDOC,0.785,0.00027555
