title,authors,year,venue,doi,theme,relevance_note
De novo generation of hit-like molecules from gene expression signatures using artificial intelligence,Oscar Méndez‐Lucio et al.,2020,Nature Communications,10.1038/s41467-019-13807-w,d) Perturbation data for immune drug-target discovery,Méndez-Lucio: generating compounds from desired expression signatures — linking DE signatures to therapeutics.
Robustness and applicability of transcription factor and pathway analysis tools on single-cell RNA-seq data,Christian H. Holland et al.,2020,Genome biology,10.1186/s13059-020-1949-z,d) Perturbation data for immune drug-target discovery,Holland: benchmarking TF/pathway activity inference (DoRothEA/PROGENy) from expression — directional target inference.
Applications of single-cell RNA sequencing in drug discovery and development,Bram Van de Sande et al.,2023,Nature Reviews Drug Discovery,10.1038/s41573-023-00688-4,d) Perturbation data for immune drug-target discovery,Van de Sande: review of scRNA-seq / perturbation approaches for drug-target discovery.
In vivo CRISPR screens reveal Serpinb9 and Adam2 as regulators of immune therapy response in lung cancer,Dzana Dervovic et al.,2023,Nature Communications,10.1038/s41467-023-38841-7,d) Perturbation data for immune drug-target discovery,Dervovic: in vivo CRISPR screens revealing Serpinb9/Adam2 as immune-evasion regulators — perturbation-based immune target discovery.
Rank–rank hypergeometric overlap: identification of statistically significant overlap between gene-expression signatures,Seema B. Plaisier et al.,2010,Nucleic Acids Research,10.1093/nar/gkq636,e) LINCS/L1000 & signed-DE for directionality,Plaisier: rank-rank hypergeometric overlap for comparing signed/ranked DE signatures — directionality-aware overlap statistic.
"LINCS Canvas Browser: interactive web app to query, browse and interrogate LINCS L1000 gene expression signatures",Qiaonan Duan et al.,2014,Nucleic Acids Research,10.1093/nar/gku476,e) LINCS/L1000 & signed-DE for directionality,Duan: querying/visualizing LINCS L1000 signatures — signed perturbation directionality resource.
L1000CDS2: LINCS L1000 characteristic direction signatures search engine,Qiaonan Duan et al.,2016,npj Systems Biology and Applications,10.1038/npjsba.2016.15,e) LINCS/L1000 & signed-DE for directionality,Duan: L1000CDS2 characteristic-direction signature search — signed-DE directionality engine.
"A Next Generation Connectivity Map: L1000 Platform and the First 1,000,000 Profiles",Aravind Subramanian et al.,2017,Cell,10.1016/j.cell.2017.10.049,e) LINCS/L1000 & signed-DE for directionality,Subramanian: L1000 next-gen Connectivity Map — reference for signed perturbation signatures and directionality.
Perturbation-response genes reveal signaling footprints in cancer gene expression,Michaël Schubert et al.,2017,Nature Communications,10.1038/s41467-017-02391-6,e) LINCS/L1000 & signed-DE for directionality,Schubert (PROGENy): perturbation-response genes as pathway footprints — signed-DE derived pathway/directionality inference.
A review of connectivity map and computational approaches in pharmacogenomics,Aliyu Musa et al.,2017,Briefings in Bioinformatics,10.1093/bib/bbw112,e) LINCS/L1000 & signed-DE for directionality,Musa: review of Connectivity Map methods for signature-based target/drug matching.
