gene_symbol,ensembl_id,is_surface_protein,has_transmembrane_domain,has_extracellular_domain,extracellular_length,is_cspa_confirmed,is_surfy_predicted,is_druggable,druggable_pathway,in_gwt_top15_shortlist
ACVR2B,ENSG00000114739,True,True,True,119.0,True,True,True,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,False
ACYP1,ENSG00000119640,False,False,False,,False,False,False,,False
ADA,ENSG00000196839,False,False,False,0.0,False,False,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME;EXTERNAL SIDE OF PLASMA MEMBRANE,False
ADA2,ENSG00000093072,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;GROWTH FACTOR,False
ADAM10,ENSG00000137845,True,True,True,653.0,True,True,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE;TRANSPORTER,False
ADAM12,ENSG00000148848,True,True,True,501.0,True,True,True,DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAM15,ENSG00000143537,True,True,True,490.0,True,True,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME;KINASE;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAM17,ENSG00000151694,True,True,True,457.0,True,True,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE;TRANSPORTER,False
ADAM19,ENSG00000135074,True,True,True,497.0,True,True,True,DRUGGABLE GENOME;ENZYME;PROTEASE,False
ADAM22,ENSG00000008277,True,True,True,514.0,True,True,True,DRUGGABLE GENOME;ENZYME;PROTEASE,False
ADAM23,ENSG00000114948,True,True,True,506.0,False,True,True,DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAM28,ENSG00000042980,True,True,True,467.0,False,True,True,DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAM8,ENSG00000151651,True,True,True,639.0,True,True,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAM9,ENSG00000168615,True,True,True,669.0,True,True,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME;EXTERNAL SIDE OF PLASMA MEMBRANE;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAMTS1,ENSG00000154734,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAMTS17,ENSG00000140470,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;PROTEASE,False
ADAMTS6,ENSG00000049192,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADAMTSL5,ENSG00000185761,False,False,False,,False,False,False,,False
ADAP1,ENSG00000105963,False,False,False,,False,False,False,,False
ADAR,ENSG00000160710,False,False,False,,False,False,False,,False
ADARB1,ENSG00000197381,False,False,False,,False,False,False,,False
ADARB2,ENSG00000185736,False,False,False,,False,False,False,,False
ADAT1,ENSG00000065457,False,False,False,,False,False,False,,False
ADAT2,ENSG00000189007,False,False,False,,False,False,False,,False
ADCK1,ENSG00000063761,False,False,False,,False,False,False,,False
ADCK2,ENSG00000133597,False,False,False,0.0,False,False,False,,False
ADCK5,ENSG00000173137,False,False,False,0.0,False,False,False,,False
ADCY1,ENSG00000164742,True,True,False,0.0,False,False,True,DRUGGABLE GENOME;ENZYME,False
ADCY3,ENSG00000138031,True,True,False,0.0,True,True,True,DRUGGABLE GENOME;ENZYME,False
ADCY4,ENSG00000129467,True,True,True,27.0,False,False,True,DRUGGABLE GENOME;ENZYME,False
ADCY7,ENSG00000121281,True,True,False,0.0,True,True,True,DRUGGABLE GENOME;ENZYME;KINASE,False
ADCY9,ENSG00000162104,True,True,True,95.0,True,True,True,DRUGGABLE GENOME;ENZYME;KINASE,False
ADGRA3,ENSG00000152990,True,True,True,766.0,False,False,True,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;G PROTEIN COUPLED RECEPTOR,False
ADGRB2,ENSG00000121753,True,True,True,944.0,False,False,True,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR;TRANSCRIPTION FACTOR,False
ADGRE2,ENSG00000127507,True,True,True,554.0,False,False,True,CELL SURFACE;DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,False
ADGRE5,ENSG00000123146,True,True,True,574.0,False,False,True,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,False
ADGRG1,ENSG00000205336,True,True,True,414.0,False,False,True,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,False
ADGRG5,ENSG00000159618,True,True,True,271.0,False,False,True,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,False
ADGRL1,ENSG00000072071,True,True,True,861.0,False,False,True,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,False
ADGRV1,ENSG00000164199,True,True,True,5934.0,False,False,True,CELL SURFACE;DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR;KINASE;TRANSPORTER,False
ADH1B,ENSG00000196616,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ADH5,ENSG00000197894,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ADHFE1,ENSG00000147576,False,False,False,,False,False,True,DRUGGABLE GENOME,False
ADI1,ENSG00000182551,False,False,False,,False,False,False,,False
ADIPOR1,ENSG00000159346,True,True,True,53.0,False,False,False,,False
ADIPOR2,ENSG00000006831,True,True,True,56.0,False,True,False,,False
ADK,ENSG00000156110,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;KINASE,False
ADM,ENSG00000148926,False,False,False,,False,False,True,DRUGGABLE GENOME;HORMONE ACTIVITY,False
ADM5,ENSG00000224420,False,False,False,,False,False,False,,False
ADNP,ENSG00000101126,False,False,False,,False,False,False,,False
ADORA2A,ENSG00000128271,True,True,True,56.0,False,True,True,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,False
ADORA2B,ENSG00000170425,True,True,True,61.0,False,True,True,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,False
ADPGK,ENSG00000159322,False,False,False,0.0,False,False,False,,False
ADPRH,ENSG00000144843,False,False,False,,False,False,False,,False
ADPRM,ENSG00000170222,False,False,False,0.0,False,False,False,,False
ADPRS,ENSG00000116863,False,False,False,,False,False,False,,False
ADRB2,ENSG00000169252,True,True,True,68.0,True,True,True,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;G PROTEIN COUPLED RECEPTOR;KINASE,False
ADSS2,ENSG00000035687,False,False,False,,False,False,False,,False
ADTRP,ENSG00000111863,True,True,True,49.0,False,False,False,,False
AEBP1,ENSG00000106624,False,False,False,,True,False,True,DRUGGABLE GENOME;ENZYME;KINASE;PROTEASE,False
AFDN,ENSG00000130396,False,False,False,,False,False,True,CLINICALLY ACTIONABLE,False
AFF2,ENSG00000155966,False,False,False,,False,False,False,,False
AFG3L2,ENSG00000141385,True,True,False,0.0,False,False,False,,False
AFTPH,ENSG00000119844,False,False,False,,False,False,False,,False
AGAP2,ENSG00000135439,False,False,False,,False,False,False,,False
AGAP5,ENSG00000172650,False,False,False,,False,False,False,,False
AGER,ENSG00000204305,True,True,True,320.0,False,True,True,CELL SURFACE;DRUGGABLE GENOME;KINASE,False
AGGF1,ENSG00000164252,False,False,False,,False,False,True,DRUGGABLE GENOME,False
AGL,ENSG00000162688,False,False,False,,False,False,False,,False
AGMAT,ENSG00000116771,False,False,False,,False,False,False,,False
AGPAT1,ENSG00000204310,True,True,False,0.0,False,False,False,,False
AGPAT2,ENSG00000169692,True,True,False,0.0,False,False,True,DRUGGABLE GENOME;ENZYME,False
AGPAT3,ENSG00000160216,True,True,False,0.0,False,False,False,,False
AGPAT4,ENSG00000026652,True,True,False,0.0,False,False,False,,False
AGPAT5,ENSG00000155189,True,True,False,0.0,False,False,False,,False
AGPS,ENSG00000018510,False,False,False,,True,False,False,,False
AGR2,ENSG00000106541,False,False,False,,False,False,True,DRUGGABLE GENOME,False
AGR3,ENSG00000173467,False,False,False,,False,False,True,DRUGGABLE GENOME,False
AGRN,ENSG00000188157,False,False,False,0.0,True,False,True,DRUGGABLE GENOME;KINASE,False
AGTRAP,ENSG00000177674,True,True,True,33.0,False,False,False,,False
AHCYL1,ENSG00000168710,False,False,False,,False,False,True,DRUGGABLE GENOME,False
AHCYL2,ENSG00000158467,False,False,False,,False,False,True,DRUGGABLE GENOME,False
AHR,ENSG00000106546,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;NUCLEAR HORMONE RECEPTOR;TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX,False
AIFM1,ENSG00000156709,False,False,False,0.0,False,False,True,DRUGGABLE GENOME,False
AIFM2,ENSG00000042286,False,False,False,0.0,False,False,True,DRUGGABLE GENOME,False
AIG1,ENSG00000146416,True,True,True,42.0,False,False,False,,False
AJAP1,ENSG00000196581,True,True,True,239.0,False,True,False,,False
AK9,ENSG00000155085,False,False,False,,False,False,False,,False
AKAP1,ENSG00000121057,False,False,False,0.0,False,False,False,,False
AKAP10,ENSG00000108599,False,False,False,,False,False,False,,False
AKAP13,ENSG00000170776,False,False,False,,False,False,False,,False
AKAP8L,ENSG00000011243,False,False,False,,False,False,False,,False
AKAP9,ENSG00000127914,False,False,False,,False,False,True,CLINICALLY ACTIONABLE;KINASE,False
AKR1E2,ENSG00000165568,False,False,False,,False,False,True,DRUGGABLE GENOME,False
AKT1,ENSG00000142208,False,False,False,,False,False,True,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR;TRANSPORTER,False
AKT2,ENSG00000105221,False,False,False,,False,False,True,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR;TRANSPORTER;TUMOR SUPPRESSOR,False
AKT3,ENSG00000117020,False,False,False,,False,False,True,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,False
AKTIP,ENSG00000166971,False,False,False,,False,False,False,,False
ALAS1,ENSG00000023330,False,False,False,,False,False,False,,False
ALAS2,ENSG00000158578,False,False,False,,False,False,False,,False
ALCAM,ENSG00000170017,True,True,True,500.0,True,True,True,DRUG RESISTANCE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE,False
ALDH16A1,ENSG00000161618,False,False,False,,False,False,True,DRUGGABLE GENOME,False
ALDH1A1,ENSG00000165092,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALDH1B1,ENSG00000137124,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALDH2,ENSG00000111275,False,False,False,,False,False,True,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;ENZYME,False
ALDH3A2,ENSG00000072210,False,False,False,0.0,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALDH5A1,ENSG00000112294,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALDH7A1,ENSG00000164904,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALDH8A1,ENSG00000118514,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALDH9A1,ENSG00000143149,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALG1,ENSG00000033011,False,False,False,0.0,False,False,False,,False
ALG10,ENSG00000139133,True,True,True,111.0,False,False,False,,False
ALG10B,ENSG00000175548,True,True,True,105.0,False,False,False,,False
ALG12,ENSG00000182858,True,True,False,0.0,False,False,False,,False
ALG14,ENSG00000172339,False,False,False,0.0,False,False,False,,False
ALG2,ENSG00000119523,False,False,False,,False,False,False,,False
ALG3,ENSG00000214160,True,True,False,0.0,False,False,False,,False
ALG5,ENSG00000120697,False,False,False,0.0,False,False,False,,False
ALG6,ENSG00000088035,True,True,False,0.0,False,False,False,,False
ALG8,ENSG00000159063,True,True,False,0.0,False,False,False,,False
ALG9,ENSG00000086848,True,True,False,0.0,False,False,False,,False
ALKAL2,ENSG00000189292,False,False,False,,False,False,False,,False
ALOX12,ENSG00000108839,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALOX5,ENSG00000012779,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ALOX5AP,ENSG00000132965,True,True,False,0.0,False,False,True,DRUGGABLE GENOME,False
ALPK1,ENSG00000073331,False,False,False,,False,False,False,,False
ALPL,ENSG00000162551,False,False,False,,True,True,True,DRUGGABLE GENOME;ENZYME,False
ALS2,ENSG00000003393,False,False,False,,False,False,False,,False
ALS2CL,ENSG00000178038,False,False,False,,False,False,False,,False
AMD1,ENSG00000123505,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
AMDHD1,ENSG00000139344,False,False,False,,False,False,False,,False
AMDHD2,ENSG00000162066,False,False,False,,False,False,False,,False
AMFR,ENSG00000159461,True,True,False,0.0,False,False,False,,False
AMIGO1,ENSG00000181754,True,True,True,345.0,True,True,False,,False
AMIGO2,ENSG00000139211,True,True,True,359.0,True,True,False,,False
AMMECR1L,ENSG00000144233,False,False,False,,False,False,False,,False
AMN,ENSG00000166126,True,True,True,338.0,False,True,False,,False
AMN1,ENSG00000151743,False,False,False,,False,False,False,,False
AMOT,ENSG00000126016,False,False,False,,False,False,True,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE,False
AMPD2,ENSG00000116337,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
AMY2B,ENSG00000240038,False,False,False,,False,False,True,DRUGGABLE GENOME,False
ANAPC5,ENSG00000089053,False,False,False,,False,False,False,,False
ANK1,ENSG00000029534,False,False,False,,False,False,False,,False
ANK3,ENSG00000151150,False,False,False,,False,False,False,,False
ANKAR,ENSG00000151687,False,False,False,0.0,False,False,False,,False
ANKDD1A,ENSG00000166839,False,False,False,,False,False,False,,False
ANKH,ENSG00000154122,True,True,True,41.0,False,True,False,,False
ANKLE1,ENSG00000160117,False,False,False,0.0,False,False,False,,False
ANKLE2,ENSG00000176915,False,False,False,0.0,False,False,False,,False
ANKMY1,ENSG00000144504,False,False,False,,False,False,False,,False
ANKRD27,ENSG00000105186,False,False,False,,False,False,False,,False
ANKRD42,ENSG00000137494,False,False,False,,False,False,False,,False
ANKRD44,ENSG00000065413,False,False,False,,False,False,False,,False
ANKRD46,ENSG00000186106,False,False,False,0.0,False,False,False,,False
ANKRD49,ENSG00000168876,False,False,False,,False,False,False,,False
ANKS1A,ENSG00000064999,False,False,False,,False,False,False,,False
ANKZF1,ENSG00000163516,False,False,False,,False,False,False,,False
ANO10,ENSG00000160746,True,True,True,122.0,False,False,False,,False
ANO6,ENSG00000177119,True,True,True,209.0,True,True,False,,False
ANO8,ENSG00000074855,True,True,True,719.0,False,False,False,,False
ANO9,ENSG00000185101,True,True,True,252.0,True,True,False,,False
ANPEP,ENSG00000166825,True,True,True,935.0,True,True,True,DRUGGABLE GENOME;ENZYME;EXTERNAL SIDE OF PLASMA MEMBRANE;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ANTKMT,ENSG00000103254,False,False,False,0.0,False,False,False,,False
ANTXR2,ENSG00000163297,True,True,True,285.0,False,True,True,CELL SURFACE;DRUGGABLE GENOME,False
ANXA2R,ENSG00000177721,False,False,False,,False,False,False,,False
ANXA6,ENSG00000197043,False,False,False,,False,False,False,,False
AOAH,ENSG00000136250,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
AOC2,ENSG00000131480,True,True,True,731.0,False,False,True,DRUGGABLE GENOME,False
AOC3,ENSG00000131471,True,True,True,737.0,True,True,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME,False
AOPEP,ENSG00000148120,False,False,False,,False,False,True,DRUGGABLE GENOME;PROTEASE,False
AP1M1,ENSG00000072958,False,False,False,,False,False,False,,False
AP1S3,ENSG00000152056,False,False,False,,False,False,False,,False
AP3B1,ENSG00000132842,False,False,False,0.0,False,False,False,,False
AP3D1,ENSG00000065000,False,False,False,,False,False,False,,False
AP3S2,ENSG00000157823,False,False,False,,False,False,False,,False
AP4B1,ENSG00000134262,False,False,False,,False,False,False,,False
AP4E1,ENSG00000081014,False,False,False,0.0,False,False,False,,False
AP5B1,ENSG00000254470,False,False,False,,False,False,False,,False
AP5S1,ENSG00000125843,False,False,False,,False,False,False,,False
APAF1,ENSG00000120868,False,False,False,0.0,False,False,True,DRUGGABLE GENOME,False
APBB1,ENSG00000166313,False,False,False,,False,False,False,,False
APC,ENSG00000134982,False,False,False,,False,False,True,CLINICALLY ACTIONABLE,False
APEH,ENSG00000164062,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;PROTEASE,False
APH1A,ENSG00000117362,True,True,False,0.0,False,False,True,CLINICALLY ACTIONABLE;DRUGGABLE GENOME,False
APH1B,ENSG00000138613,True,True,False,0.0,False,False,True,DRUGGABLE GENOME;PROTEASE,False
APLP1,ENSG00000105290,True,True,True,542.0,True,True,True,DRUGGABLE GENOME,False
APLP2,ENSG00000084234,True,True,True,661.0,True,True,False,,False
APMAP,ENSG00000101474,True,True,True,355.0,True,False,False,,False
APOA1,ENSG00000118137,False,False,False,,False,False,True,CELL SURFACE;DRUGGABLE GENOME;ENZYME,False
APOA4,ENSG00000110244,False,False,False,,False,False,True,CELL SURFACE;DRUGGABLE GENOME,False
APOC1,ENSG00000130208,False,False,False,,False,False,True,DRUGGABLE GENOME,False
APOC3,ENSG00000110245,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
